"","document_name","Text","author","author_type","date_constructed","probability","year","additional_info","unique_ID","topic_name_short","author_category","nra_group","sentiment","energy_crisis","manual_annotation","paradigm_aspect"
"11","240400_OIES_From natural gas to hydrogen what are the rules for European gas network decarbonisation and do they ensure flexibility and security of supply.json","The RNGH Regulation obliges ACER to issue recommendations to TSOs, DSOs, HNOs as well as to the regulatory authorities on the methodologies for setting the inter-temporal cost allocation, and updating them at least once every 2 years (Art. 5.6). It also enables (but does not oblige) ACER to issue recommendations on","OIES",NA,2024-04-01,0,2024,"From natural gas to hydrogen what are the rules for European gas network decarbonisation and do they ensure flexibility and security of supply",54057,"ACER CEER ENTSO","Thinktanks","Other",NA,0,FALSE,"liberal_institutions"
"12","22_NRA Report_Czechia_EN_for 21_Cropped.json","In relation to the Project Proposal for Incremental Capacity between Entry/Exit Systems of the Czech Republic (CZ) and Austrian Market Area East (AT), towards the end of the process, on 20 April 2021, the Austrian national regulator, E-Control, notified the Office that on the Austrian side, it would not be possible to issue the decisions required for approving the project proposal before 5 May 2021. For this reason, the two regulators decided to apply to ACER for an extension of the time for issuing the decision in question. On 23 July 2021, ACER accepted this application and, in its decision, allowed the two regulators to achieve agreement on the proposed project until 5 November 2021.","NRA Report","Czechia",2022-01-01,0,2022,"for 21",30965,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"13","15_NRA Report_Hungary_EN_for 14_Cropped.json","Delegates from the Authority contributed to the elaboration of various drafts, position papers, publications and provided professional contribution in the joint work in eight working groups and sixteen Task Forces and Workstreams, as well as in the highest forum (General Assembly - GA) of the Council of European Energy Regulators  CEER.","NRA Report","Hungary",2015-01-01,0.869894481725978,2015,"for 14",17299,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"14","21_NRA Report_Poland_EN_Cropped.json","In fulfilling the above obligation, ENSTO-E submitted drafts to ACER in May 2020, which were then examined and revised by all regulators through the work of the ACER Adequacy Task Force. These documents were also subject to public consultation with the EU Member States and were accepted by the ACER Board of Regulators. ACER subsequently approved both methodologies by means of:","NRA Report","Poland",2021-01-01,1,2021,NA,30363,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"15","14_NRA Report_Latvia_EN_for 13_Cropped.json","The executive institution is subordinated to the Regulators Board carrying out the functions of the Boards secretariat and experts, preparing issues and documents for board meetings and implementing the execution of Boards decisions, as well as administrative acts. The executive institution consists of the executive director, seven departments and seven independent divisions including three regional divisions  Kurzeme, Vidzeme and Latgale. Their task is to carry out specific Regulators functions in the regions. 118 employees worked at the Regulator in 2013; the number of employees has grown by one during the year. 93 employees work directly on the implementation of regulatory functions (respective structural units are tinted in the figure), 25 employees perform technical and administrative support functions, while the executive director and the External Relations Division partially perform both functions.","NRA Report","Latvia",2014-01-01,0,2014,"for 13",15598,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"16","240613_EP and Council_Directive_OJ_L_202401788_EN_TXT.json","Where the Commission, within two months of having been informed by ACER in accordance with paragraph 3 or by a regulatory authority in accordance with paragraph 4, or on its own initiative within three months from the date of the decision, finds that the decision of a regulatory authority raises serious doubts as to its compatibility with the network codes and the guidelines adopted pursuant to this Directive or to Regulation (EU) 2024/1789, the Commission may decide to examine the case further. In such a case, it shall invite the regulatory authority and the parties to the proceedings before the regulatory authority to submit observations.","EP & Council","Directive",2024-06-13,0.99713952024518,2024,"OJ_L_202401788_EN_TXT.json",9615,"ACER CEER ENTSO","EU Institutions","Other",NA,0,FALSE,"liberal_institutions"
"17","21_NRA Report_Poland_EN_Cropped.json","It is also worth noting that in 2020 the URE President participated internationally (together with ACER and ENTSO-G) in the development of the procedure and rules of conduct in the event of a significant, unusual imbalance in the position of a network user. The public consultation on this issue was conducted in autumn 2020, while the joint ACER and ENTSO-G document was published on 10 February 202175) .","NRA Report","Poland",2021-01-01,0,2021,NA,30418,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"18","16_NRA Report_Latvia_EN_for 15_Cropped.json","The Regulator consists of a Board composed of a Chairperson and four members appointed by the parliament for five years and an executive body subordinated to the Board. The Board takes decisions on behalf of the Regulator and approves administrative acts which are binding for specific public service providers and customers. The executive body operates under the oversight of the Regulators Board, and it serves both as a secretariat and as the provider of expert services. The executive body prepares issues and documents for examination at the Board meetings, enacts approved decisions and oversees the implementation of those decisions.","NRA Report","Latvia",2016-01-01,0,2016,"for 15",19712,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"19","20_NRA Report_Slovakia_EN_for 19_Cropped.json","The Office regularly participated in the meetings of the Agency for the Cooperation of Energy Regulators (ACER) Board of Regulators, having had the opportunity to provide opinions in the development and approval of EU binding common rules for internal electricity and gas markets. The Office also participated in parallel meetings of the Council of European Energy Regulators (CEER), having renewed its membership in July 2019. CEER is a platform bringing together national energy regulators in the European Union. It enables mutual cooperation and the exchange of best regulatory practices, complementing the work of ACER. The Office thus regained an opportunity to comment at the highest level on the vision and direction of the energy sector in the EU, especially with regard to the forthcoming new legislation on the single gas market or future sector integration.","NRA Report","Slovakia",2020-01-01,0.869894481725978,2020,"for 19",28536,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"20","21_NRA Report_Poland_EN_Cropped.json","Regulation 2019/943, in Article 23(6), imposed an obligation on ENTSO-E to prepare and submit to ACER for approval a proposal for a methodology to calculate the value of lost load (VOLL), the cost of new entry of a new generation unit or controlled load (CONE) and the reliability standard (RS) and the European Resource Adequacy Assessment (ERAA).","NRA Report","Poland",2021-01-01,0.963627950755462,2021,NA,30362,"ACER CEER ENTSO","Regulators","Eastern Europe",NA,0,FALSE,"liberal_institutions"
"21","220900_OIES_The Baltic gas market a microcosm of Europeâ€™s struggle to quit Russian gas.json","So thank you to Mika at Gasgrid Finland, Dace at Conexus, Elo at Elering, and Milda and Laura at Amber Grid. Thank you also to Matt for your invaluable help in editing the paper and giving me feedback throughout the process, and Michal and David for giving me the chance to write this paper, and all the constructive criticism you gave me.","OIES",NA,2022-09-01,1,2022,"The Baltic gas market a microcosm of Europeâ€™s struggle to quit Russian gas",50680,"Acknowledgements - Delete","Thinktanks","Other",NA,0,FALSE,"other"
"22","180612_Ifri_New and Emerging LNG Markets The Demand Shock.json","electricity, according to the IEA.72 Insufficient generation capacity is acting as a barrier to further economic growth and social development. Demand for electricity in Sub-Saharan Africa is expected to more than triple by 2040, from a low base of 460 TWh in 2016. LNG import projects are also driven by the absence of significant gas resources, lack of investment to develop small reserves, or temporary gas supply shortages pending the development of new gas discoveries. Some aspiring importing countries in the region intend to substitute imported oil by LNG in power generation.","Ifri",NA,2018-06-12,0,2018,NA,13578,"Africa","Thinktanks","Other",NA,0,FALSE,"other"
"23","220700_OIES_African gas supplies to Europe between hopes and hard realities.json","During the last Conference of Parties, COP 26, in Glasgow, African delegates from existing and potential new hydrocarbon producing countries strongly defended the case of natural gas as part of their energy transition strategy and pathway. They argued that international pressure to stop the funding of hydrocarbon development projects was unfair for a continent where about 600 million people have no access to electricity4 and which generates less than 3 per cent of the worlds energy-related carbon dioxide emissions. 5","OIES",NA,2022-07-01,0.639088445271083,2022,"African gas supplies to Europe between hopes and hard realities",50068,"Africa","Thinktanks","Other",NA,0,FALSE,"climate_objectives"
"24","230900_OIES_Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™.json","The concept of aggregating gas demand centres is critical to the viability of domestic gas utilisation projects in small size markets as it allows the anchoring of gas demand, but the inherent low level of industrial development in many sub-Saharan African countries makes it difficult to successfully develop industrial hubs or parks and thus capture the sought-after economies of scale and foreign direct investments in domestic gas monetisation projects. Yet, in large African economies with relatively larger gas markets like in Algeria, Egypt, Nigeria, and South Africa, oil and gas focused industrial parks or zones do exist and could be expanded while new ones could be developed.","OIES",NA,2023-09-01,1,2023,"Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™",52616,"Africa","Thinktanks","Other",NA,0,FALSE,"other"
"25","240900_OIES_Gas to 2030 Transition, Supply Risk and Market Uncertainty â€“ Issue 141.json","In July 2024, the launching of the Africa Energy Bank established by the African Petroleum Producers Organisation (APPO) and Afreximbank was announced. This new regional bank is expected to be operational in 2025 with the aim of addressing the funding challenge that African oil and gas industry has come to face as a result of the energy transition, where the traditional financiers of the worlds oil and gas industry have resolved to abandon the industry, especially in Africa. 101 (<>)","OIES",NA,2024-09-01,0.477566746732029,2024,"Gas to 2030 Transition, Supply Risk and Market Uncertainty â€“ Issue 141",55048,"Africa","Thinktanks","Other",NA,0,FALSE,"other"
"26","241000_OIES_Market and regulatory headwinds build for MENA gas exporters to Europe.json","In the face of these looming challenges, MENAs main gas exporters to Europe fall into two distinct groups. First, North African gas exporters including Algeria, Egyp(<>)tand Libya hold relatively limited gas reserves and are all constrained by rising domestic gas demand and limited upstream investments. These constraints have and will to varying degrees limit North Africas long-term export prospects as natural field declines and strong domestic market growth crimp volumes available for export. Second, gas exporters from the Gulf Cooperation Council (GCC) area including Qatar, the United Arab Emirates (UAE) and Oman to a certain extent, boast larger reserves relative to their domestic gas markets, and well capitalised state energy companies. While the latter group has in large part designed its LNG expansion projects to comply with tighter emissions standards with the aim of being best in class, progress for the North African countries has been slower and less profound, reflecting a broad regional discomfort with the potential external imposition of green regulations on their energy exports.","OIES",NA,2024-10-01,0.234015096621489,2024,"Market and regulatory headwinds build for MENA gas exporters to Europe",55176,"Africa","Thinktanks","Other",NA,1,FALSE,"realist_objectives"
"27","230900_OIES_Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™.json","Africa is a very diverse continent. African countries have different political, economic, financial, population, geographical, and natural resource endowment characteristics and consequently, energy transition strategies and pathways will reflect this diversity. In this paper, we focus on the specific energy transition implications of natural gas developments in Africas existing and potential new gas producing countries. These are very important issues to address if Africa is to continue to develop and monetise its natural gas potential.","OIES",NA,2023-09-01,1,2023,"Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™",52624,"Africa","Thinktanks","Other",NA,0,FALSE,"other"
"28","230900_OIES_Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™.json","The lack of funding and timely development of natural gas infrastructure remains a key constraint for many of Africas existing and potential new gas producing countries. Apart from North Africas large gas markets (Algeria and Egypt), where extensive natural gas transmission and distribution networks have been built over several decades, the rest of Africa has relatively limited gas pipeline transportation capacity.","OIES",NA,2023-09-01,0.72821780012805,2023,"Prospects for a potential African gas renaissance en route to a â€˜just energy transitionâ€™",52610,"Africa","Thinktanks","Other",NA,0,FALSE,"other"
"29","140900_OIES_European gas hubs price correlation â€“ barriers to convergence.json","This being the case, we should consider whether further policy measures are needed to achieve the declared EU goal of gas wholesale market integration168 . In this debate, it is key to decide first whether a perfect correlation is needed to achieve the EU objectives and whether other metrics may be more adequate or desirable169.","OIES",NA,2014-09-01,0,2014,"European gas hubs price correlation â€“ barriers to convergence",36738,"AGTM Metrics","Thinktanks","Other",NA,0,FALSE,"liberal_objectives"
"30","21_ACER_Report_for19","The results of AGTM indicators show that the liquidity of gas hubs is improving in most MSs, particularly on spot markets. However, the thresholds envisaged for AGTM indicators are generally still not met, especially when considering the modest liquidity of forward markets (apart from TTF and NBP) as well as markets structural upstream supply-side competition. In addition, the monitoring results show that while there has been progress made in some of the EUs least liquid gas markets, many national wholesale markets have yet to see any meaningful liquidity develop at their gas hubs.","ACER","Report",2021-01-01,0,2021,"for19",2247,"AGTM Metrics","Regulators","Other",NA,0,FALSE,"liberal_instruments"
"31","15_ACER_Report_for14_Cropped","The prevalence of low diversity of supply sources in selected MSs should continue to be addressed as a priority as competition is more difficult to achieve in the absence of adequate gas sourcing diversity. In this respect, the Baltic countries, Finland, Bulgaria, Ireland and Slovakia do not meet the GTM objective of three sources. Lithuania made good progress with the commissioning of the Klapeida LNG facility.","ACER","Report",2015-01-01,0,2015,"for14_",1163,"AGTM Metrics","Regulators","Other",NA,0,FALSE,"liberal_objectives"
"32","21_ACER_Report_for19","121 In previous MMR editions, the AGTM assessment featured a section on prompt markets based on the Month-Ahead product. The assessment has remained the same but the section has been incorporated into the Forward markets section, in order to avoid repetition as past assessment have shown similar dynamics for both markets.","ACER","Report",2021-01-01,1,2021,"for19",2390,"AGTM Metrics","Regulators","Other",NA,0,FALSE,"other"
"33","220500_OIES_Quarterly Gas Review Issue 17.json","Some predicted that Algeria will aim to increase supplies to Italy by 9 to 10 billion cubic meters on an annual basis by as early as the end of 2022.25 Noting that in 2021 Algerian gas pipeline exports to Italy rose by about 80 percent compared to 2020, such an important additional volume increase over a very short period is an unrealistic scenario. Actually, the CEO of Sonatrach indicated, in early April 2022, that at present, Algeria has only few billion cubic meters of additional gas supply available for exports.26","OIES",NA,2022-05-01,0.816323274106247,2022,"Quarterly Gas Review Issue 17",49967,"Algerian gas","Thinktanks","Other",NA,1,FALSE,"realist_objectives"
"34","191000_OIES_Algerian Gas in Transition domestic transformation and changing gas export potential.json","Algerias deteriorating natural gas balance also suffers from the unrelenting pressure of a fast-growing domestic gas demand that is dangerously reducing the countrys gas export potential and one of its main sources of external revenue. The main factor fuelling this rapid gas consumption growth is the prevailing heavily subsidized domestic gas price. For a long time, policymakers did not have the political will and courage to seriously address this vexing issue of domestic price subsidies. Instead, noncontroversial, ineffective, or badly prepared alternatives were proposed to manage natural gas use. Notably, the very slow development of a renewable energy program to reduce the use of natural gas while, at the same time, a significant build-up of gas-fired power capacity is already under way. This is unlikely to help renewable sources of energy quickly achieve a meaningful share of Algerias future energy mix. Therefore, heavy reliance on natural gas to generate electricity will unfortunately continue, at least until the end of next decade.","OIES",NA,2019-10-01,1,2019,"Algerian Gas in Transition domestic transformation and changing gas export potential",44958,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"35","191000_OIES_Algerian Gas in Transition domestic transformation and changing gas export potential.json","In 2014, Equinor (previously Statoil), Sonatrach and Shell were awarded the unconventional liquid-rich gas Timissit licence in the Berkine Basin in south-eastern Algeria.23 At the end of 2014, Sonatrach undertook the first exploratory shale gas drilling in Algerias south-western region of In Salah. This first drilling for unconventional gas led to strong protests by the local communities concerned about the environmental implications of such operations.24","OIES",NA,2019-10-01,1,2019,"Algerian Gas in Transition domestic transformation and changing gas export potential",44880,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"36","220500_OIES_Quarterly Gas Review Issue 17.json","Although some European companies, such as Italys Eni, have already increased their upstream involvement or interests in Algeria, the implementation of the proposed incremental gas supply scenario could be affected by some serious challenges. The signing of long-term upstream agreements could be inconsistent with Europes decarbonisation policies and regulations. Could new international upstream partnerships be possible if they incorporate in their projects clearly measurable, verifiable, and meaningful carbon footprint reduction actions? In fact, this question is not only relevant to the Algerian case, but to all other gas exporting countries.","OIES",NA,2022-05-01,0,2022,"Quarterly Gas Review Issue 17",49972,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"realist_instruments"
"37","220300_OIES_The EU plan to reduce Russian gas imports by two-thirds by the end of 2022 Practical realities and implications.json","present level of 10.5 bcm per year. 35 Indeed, the daily flows in February 2022 averaged 29.4 mmcm/d, which would equate to 10.7 bcm per year. 36 Also in 2021, Algeria delivered 20.2 bcm by pipeline to Italy via the Transmed pipeline, while Libya supplied 3.2 bcm to Italy via the Green Stream pipeline. The capacity of the Transmed pipeline is reportedly 32 bcm per year (88 mmcm/d). Speaking to La Libert on 28 February, the CEO of Sonatrach, Toufik Hakkar, stated that The company has unused capacity on the trans-Mediterranean gas pipeline, which could be used to increase supplies to the European market.37","OIES",NA,2022-03-01,0.876045501004017,2022,"The EU plan to reduce Russian gas imports by two-thirds by the end of 2022 Practical realities and implications",49689,"Algerian gas","Thinktanks","Other",NA,1,FALSE,"realist_instruments"
"38","160500_OIES_Algerian Gas Troubling Trends, Troubled Policies.json","In any case, the cost and premium used by the Algerian regulator are normally reviewed every four years. In between, the price is set according to an indexation formula (Box 3), which combines a nominal exchange rate index and an inflation rate index. This formula seems to have been devised to magnify inflation through the exchange rate channel. As Algeria relies heavily on imports, the pass-through of exchange rates and import prices to domestic inflation is substantial. Most frequently, a decrease in the exchange rate (depreciation) and a rise in the prices of imported goods and services leads to an increase in domestic prices in nominal terms.","OIES",NA,2016-05-01,0.917619030069938,2016,"Algerian Gas Troubling Trends, Troubled Policies",38467,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"39","230300_OIES_Italy and its North African gas interconnections A potential Mediterranean gas â€˜hubâ€™.json","fuel imports, with new restrictive measures such as the EUs Carbon Border Adjustment Mechanism (CBAM) having the potential to expand their reach beyond the current remit of products such as steel, cement and fertilisers. Italys existing North African pipeline gas suppliers, Algeria and Libya, are unlikely to be able to address quickly the issue of unabated gas and develop carbon capture and storage capacities. This could be a key barrier for an expansion of North Africas gas exports to Europe, but not an unsurmountable one.","OIES",NA,2023-03-01,0,2023,"Italy and its North African gas interconnections A potential Mediterranean gas â€˜hubâ€™",51415,"Algerian gas","Thinktanks","Other",NA,1,FALSE,"realist_instruments"
"40","160500_OIES_Algerian Gas Troubling Trends, Troubled Policies.json","While the focus of the trade press and energy research organizations has largely been on these developments, the few current analyses of Algerian gas have, by and large, relied on the stories of the day, thereby failing to step back and recognize entrenched, inauspicious trends. To be sure, the most critical among them have revised downwards their projections of Algerian gas production on the back of slow progress in developing new sources of gas and difficulties in slowing down the decline of mature fields. 1 However, these have stopped short of offering further insight into a deteriorating supply and demand balance that is likely to seriously undermine the future of the countrys gas exports.","OIES",NA,2016-05-01,0.948542201477193,2016,"Algerian Gas Troubling Trends, Troubled Policies",38433,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"41","200000_Clingendael_Book_The Political-Economic Dimension of Transformations in EU-Russia Gas Trade Mechanisms.json","talks with long-standing trade counterpart Gazprom not only to introduce more spot indexation in existing contracts, but also to shorten such contracts.661 The second case is Sonatrach, which, at the end of 2017, announced a shift in its export strategy by reducing contract terms to 10-15 years when renewing existing agreements.662 Contrary to the RWE-Gazprom negotiation, where the initiative came from the buyer, importers of Sonatrach gas expressed their concern at the Algerian companys new approach to contracting. Spanish buyers in particular worry that they will have to return to the market around 2025, when sellers will have gained substantial negotiating power due to the expected tightening in market conditions.663 Apart from RWE and Sonatrach, however, no other cases of pressures to shorten existing contracts can be clearly identified. Moreover, it should be noted that both companies seized the opportunity of contract expiry to advance their claims.","Clingendael","Book",2020-01-01,1,2020,"The Political-Economic Dimension of Transformations in EU-Russia Gas Trade Mechanisms.json",5602,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"realist_instruments"
"42","201000_OIES_Quarterly Gas Review â€“ Issue 11.json","Stagnant or declining gas production combined with unrelenting growth in domestic gas consumption is continuing to frustrate Algerias ambitions to expand its gas exports, and indeed the adverse impact of these two key constraints is acknowledged and is constantly being discussed. However, other important and interlinked factors are also constraining gas exports and will need serious attention too. In particular, a more competitive international gas market will require a more adaptable Sonatrach approach to gas marketing approach, as the limits of the companys current strategy have been exposed by the COVID-19 crisis and its negative impact on European gas demand. It would seem that a shift may be occurring, which could temporarily stem Algerias declining gas export trend with possible modest export increases in the short term, but with the challenge of decarbonisation also emerging, a fundamental re-think of export policy may be needed to diversify away from Europe. Furthermore, in the medium to long term, a sustainable increase in Algerias natural gas production and the restraining of the countrys domestic gas demand growth are fundamentally necessary if Algeria is to sustain its gas export revenues.","OIES",NA,2020-10-01,0.871925676865641,2020,"Quarterly Gas Review â€“ Issue 11",47298,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"realist_objectives"
"43","140526_SWP_The Risks of Playing for Time in Algeria.json","Competing power bases in a clientelist system. Until Bouteflika took office in 1999, Algerias fate had been controlled by active and retired military officers. As the first civilian President of the Republic, Boute-flika succeeded in gradually reducing the power of influential officers by restaffing and restructuring the army and intelligence service. The president thus built up his own power base consisting of family members, people from his home region, and long-standing acquaintances. Boute-flikas youngest brother, Said, is an extremely important powerbroker behind the scenes, and was the target of particularly aggressive attacks during the election campaign.","SWP",NA,2014-05-26,0.328496648049816,2014,"The Risks of Playing for Time in Algeria",56969,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"44","191000_OIES_Algerian Gas in Transition domestic transformation and changing gas export potential.json","How will the above-mentioned changes and reform measures affect Algerias natural gas balance over the period to 2030? On the supply side, assuming that the revised hydrocarbons law is promulgated over the next two years, the impact of this law in terms of potential new upstream investments and consequently potential additional gas supply is unlikely to result in a rapid and significant increase in gas production before the end of next decade. On the demand-side, if serious and sustainable reform measures are launched over the next two or three years to phase out domestic energy price subsidies, there would be at least a stabilization of the gas demand before 2030. Therefore, potential natural gas exports would remain limited. These reform efforts, if implemented, could enable Algeria to fulfil the needs of its recently renewed gas export contracts and perhaps provide it with opportunities to continue to export small volumes of LNG in Asia.","OIES",NA,2019-10-01,1,2019,"Algerian Gas in Transition domestic transformation and changing gas export potential",44962,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"other"
"45","210900_OIES_Gazoduc Maghreb Europe (GME) another gas transit headache for Europe.json","The world has evolved since the first molecules of Algerian gas started flowing through the GME in the mid-1990s. The global and intensified fight against the adverse impact of climate change and the emergence of more flexible international LNG transactions, are two key structural transformations, inter alia, that are affecting the world of energy. The first is expected to result in a significant reduction of the","OIES",NA,2021-09-01,0.661039549660092,2021,"Gazoduc Maghreb Europe (GME) another gas transit headache for Europe",48556,"Algerian gas","Thinktanks","Other",NA,0,FALSE,"climate_framework"
